Species,State
Solanum_myoxotrichum,0
Solanum_erythracanthum,0
Solanum_batoides,0
Solanum_virginianum,0
Solanum_thruppii,0
Solanum_coagulans,0
Solanum_melastomoides,0
Solanum_thomsonii,0
Solanum_phoxocarpum,0
Solanum_aculeastrum,0
Solanum_marginatum,0
Solanum_cordatum,0
Solanum_pronum,0
Solanum_anomalum,0
Solanum_renschii,0
Solanum_giganteum,0
Solanum_schimperianum,0
Solanum_schliebenii,0
Solanum_schumannianum,0
Solanum_somalense,0
Solanum_pubescens,0
Solanum_kwebense,0
Solanum_tettense,0
Solanum_goetzei,0
Solanum_jubae,0
Solanum_arundo,0
Solanum_dennekense,0
Solanum_sessilistellatum,0
Solanum_nigriviolaceum,0
Solanum_violaceum,0
Solanum_kurzii,0
Solanum_polhillii,0
Solanum_incanum,0
Solanum_undatum,0
Solanum_ovigerum,0
Solanum_melongena,0
Solanum_cumingii,0
Solanum_lichtensteinii,0
Solanum_cerasiferum,0
Solanum_linnaeanum,0
Solanum_campylacanthum,0
Solanum_panduriforme,0
Solanum_agnewiorum,0
Solanum_supinum,0
Solanum_rigescentoides,0
Solanum_macrocarpon,0
Solanum_dasyphyllum,0
Solanum_usaramense,0
Solanum_capense,0
Solanum_tomentosum,0
Solanum_lidii,0
Solanum_vespertilio,0
Solanum_burchellii,0
Solanum_humile,0
Solanum_manaense,0
Solanum_catombelense,0
Solanum_lamprocarpum,0
Solanum_cyaneopurpureum,0
Solanum_ruvu,0
Solanum_inaequiradians,0
Solanum_malindiense,0
Solanum_glabratum,0
Solanum_setaceum,0
Solanum_aethiopicum,0
Solanum_anguivi,0
Solanum_mauense,0
Solanum_platacanthum,0
Solanum_zanzibarense,0
Solanum_richardii,0
Solanum_stipitatostellatum,0
Solanum_trilobatum,0
Solanum_dioicum,0
